pmc	authors	year	title	journal	volume	pages	epubdate	pmid
PMC3623717	Hara Y, Chin CY, Mohamed R, et al	2013	Multiple-antigen ELISA for melioidosis - a novel approach to the improved serodiagnosis of melioidosis	BMC Infectious Diseases	13	165	2013/04/04	23556548
PMC3607239	Puah SM, Puthucheary S, Chua KH	2013	Potential Immunogenic Polypeptides of Burkholderia pseudomallei Identified by Shotgun Expression Library and Evaluation of Their Efficacy for Serodiagnosis of Melioidosis	International Journal of Medical Sciences	10	539-547	2013/03/13	23532805
PMC3579680	Janse I, Hamidjaja RA, Hendriks AC, et al	2013	Multiplex qPCR for reliable detection and differentiation of Burkholderia mallei and Burkholderia pseudomallei	BMC Infectious Diseases	13	86	2013/02/14	23409683
PMC3564208	Choh LC, Ong GH, Vellasamy KM, et al	2013	Burkholderia vaccines: are we moving forward?	Frontiers in Cellular and Infection Microbiology	3	5	2013/02/05	23386999
PMC3540353	Dowling AJ	2013	Novel gain of function approaches for vaccine candidate identification in Burkholderia pseudomallei	Frontiers in Cellular and Infection Microbiology	2	139	2013/01/09	23316481
PMC3527420	Chen R, Barphagha IK, Karki HS, et al	2012	Dissection of Quorum-Sensing Genes in Burkholderia glumae Reveals Non-Canonical Regulation and the New Regulatory Gene tofM for Toxoflavin Production	PLoS ONE	7	e52150	2012/12/20	23284909
PMC3521395	Khoo JS, Chai SF, Mohamed R, et al	2012	Computational discovery and RT-PCR validation of novel Burkholderia conserved and Burkholderia pseudomallei unique sRNAs	BMC Genomics	13	S13	2012/12/07	23282220
PMC3443583	Ong HS, Mohamed R, Firdaus-Raih M	2012	Comparative Genome Sequence Analysis Reveals the Extent of Diversity and Conservation for Glycan-Associated Proteins in Burkholderia spp	Comparative and Functional Genomics	2012	752867	2012/09/06	22991502
PMC3419357	Burtnick MN, Heiss C, Roberts RA, et al	2012	Development of capsular polysaccharide-based glycoconjugates for immunization against melioidosis and glanders	Frontiers in Cellular and Infection Microbiology	2	108	2012/08/15	22912938
PMC3418162	Chieng S, Carreto L, Nathan S	2012	Burkholderia pseudomallei transcriptional adaptation in macrophages	BMC Genomics	13	328	2012/07/23	22823543
PMC3383733	Kvitko BH, Goodyear A, Propst KL, et al	2012	Burkholderia pseudomallei Known Siderophores and Hemin Uptake Are Dispensable for Lethal Murine Melioidosis	PLoS Neglected Tropical Diseases	6	e1715	2012/06/26	22745846
PMC3417646	Chin CY, Tan SC, Nathan S	2012	Immunogenic recombinant Burkholderia pseudomallei MprA serine protease elicits protective immunity in mice	Frontiers in Cellular and Infection Microbiology	2	85	2012/06/15	22919676
PMC3365882	Bartpho T, Wongsurawat T, Wongratanacheewin S, et al	2012	Genomic Islands as a Marker to Differentiate between Clinical and Environmental Burkholderia pseudomallei	PLoS ONE	7	e37762	2012/06/01	22675491
PMC3352902	Hayden HS, Lim R, Brittnacher MJ, et al	2012	Evolution of Burkholderia pseudomallei in Recurrent Melioidosis	PLoS ONE	7	e36507	2012/05/15	22615773
PMC3263921	Bast A, Schmidt IH, Brauner P, et al	2012	Defense Mechanisms of Hepatocytes Against Burkholderia pseudomallei	Frontiers in Microbiology	2	277	2012/01/10	22291688
PMC3269093	Chantratita N, Tandhavanant S, Wikraiphat C, et al	2012	Proteomic analysis of colony morphology variants of Burkholderia pseudomallei defines a role for the arginine deiminase system in bacterial survival	Journal of Proteomics	75	1031-1042	2012 Jan 4	22062159
PMC3250505	Tuanyok A, Stone JK, Mayo M, et al	2012	The Genetic and Molecular Basis of O-Antigenic Diversity in Burkholderia pseudomallei Lipopolysaccharide	PLoS Neglected Tropical Diseases	6	e1453	2012/01/03	22235357
PMC3196475	Engelthaler DM, Bowers J, Schupp JA, et al	2011	Molecular Investigations of a Locally Acquired Case of Melioidosis in Southern AZ, USA	PLoS Neglected Tropical Diseases	5	e1347	2011/10/18	22028940
PMC3180847	Patel N, Conejero L, De Reynal M, et al	2011	Development of Vaccines Against Burkholderia Pseudomallei	Frontiers in Microbiology	2	198	2011/09/27	21991263
PMC3159172	Allwood EM, Devenish RJ, Prescott M, et al	2011	Strategies for Intracellular Survival of Burkholderia pseudomallei	Frontiers in Microbiology	2	170	2011/08/22	22007185
PMC3163937	Nuti DE, Crump RB, Dwi Handayani F, et al	2011	Identification of Circulating Bacterial Antigens by In Vivo Microbial Antigen Discovery	mBio	2	e00136-11	2011/08/16	21846829
PMC3139927	Adler NR, Stevens JM, Stevens MP, et al	2011	Autotransporters and Their Role in the Virulence of Burkholderia pseudomallei and Burkholderia mallei	Frontiers in Microbiology	2	151	2011/07/15	21811486
PMC3129521	Rholl DA, Papp-Wallace KM, Tomaras AP, et al	2011	Molecular Investigations of PenA-mediated ?-lactam Resistance in Burkholderia pseudomallei	Frontiers in Microbiology	2	139	2011/07/01	21747814
PMC3123353	Zajdowicz SL, Jones-Carson J, Vazquez-Torres A, et al	2011	Alanine Racemase Mutants of Burkholderia pseudomallei and Burkholderia mallei and Use of Alanine Racemase as a Non-Antibiotic-Based Selectable Marker	PLoS ONE	6	e21523	2011/06/24	21720554
PMC3055895	Gong L, Cullinane M, Treerat P, et al	2011	The Burkholderia pseudomallei Type III Secretion System and BopA Are Required for Evasion of LC3-Associated Phagocytosis	PLoS ONE	6	e17852	2011/03/11	21412437
PMC3025829	Wand ME, Müller CM, Titball RW, et al	2011	Macrophage and Galleria mellonella infection models reflect the virulence of naturally occurring isolates of B. pseudomallei, B. thailandensis and B. oklahomensis	BMC Microbiology	11	11	2011/01/17	21241461
PMC3008741	Dowling AJ, Wilkinson PA, Holden MT, et al	2010	Genome-Wide Analysis Reveals Loci Encoding Anti-Macrophage Factors in the Human Pathogen Burkholderia pseudomallei K96243	PLoS ONE	5	e15693	2010/12/22	21203527
PMC3091744	Lynch KH, Stothard P, Dennis JJ	2010	Genomic analysis and relatedness of P2-like phages of the Burkholderia cepacia complex	BMC Genomics	11	599	2010/10/25	20973964
PMC2955633	Balder R, Lipski S, Lazarus JJ, et al	2010	Identification of Burkholderia mallei and Burkholderia pseudomallei adhesins for human respiratory epithelial cells	BMC Microbiology	10	250	2010/09/28	20920184
PMC2942831	Edwards TE, Phan I, Abendroth J, et al	2010	Structure of a Burkholderia pseudomallei Trimeric Autotransporter Adhesin Head	PLoS ONE	5	e12803	2010/09/20	20862217
PMC2945791	Sim BM, Chantratita N, Ooi WF, et al	2010	Genomic acquisition of a capsular polysaccharide virulence cluster by non-pathogenic Burkholderia isolates	Genome Biology	11	R89	2010/08/27	20799932
PMC2896371	Pumirat P, Cuccui J, Stabler RA, et al	2010	Global transcriptional profiling of Burkholderia pseudomallei under salt stress reveals differential effects on the Bsa type III secretion system	BMC Microbiology	10	171	2010/06/14	20540813
PMC2877748	Song H, Hwang J, Yi H, et al	2010	The Early Stage of Bacterial Genome-Reductive Evolution in the Host	PLoS Pathogens	6	e1000922	2010/05/27	20523904
PMC2848565	Nandi T, Ong C, Singh AP, et al	2010	A Genomic Survey of Positive Selection in Burkholderia pseudomallei Provides Insights into the Evolution of Accidental Virulence	PLoS Pathogens	6	e1000845	2010/04/01	20368977
PMC2823722	Lee YH, Chen Y, Ouyang X, et al	2010	Identification of tomato plant as a novel host model for Burkholderia pseudomallei	BMC Microbiology	10	28	2010/01/29	20109238
PMC2737630	Trunck LA, Propst KL, Wuthiekanun V, et al	2009	Molecular Basis of Rare Aminoglycoside Susceptibility and Pathogenesis of Burkholderia pseudomallei Clinical Isolates from Thailand	PLoS Neglected Tropical Diseases	3	e519	2009/09/22	19771149
PMC2716516	Hara Y, Mohamed R, Nathan S	2009	Immunogenic Burkholderia pseudomallei Outer Membrane Proteins as Potential Candidate Vaccine Targets	PLoS ONE	4	e6496	2009/08/05	19654871
PMC2654923	Jubelin G, Chavez CV, Taieb F, et al	2009	Cycle Inhibiting Factors (CIFs) Are a Growing Family of Functional Cyclomodulins Present in Invertebrate and Mammal Bacterial Pathogens	PLoS ONE	4	e4855	2009/03/24	19308257
PMC2612704	Tuanyok A, Leadem BR, Auerbach RK, et al	2008	Genomic islands from five strains of Burkholderia pseudomallei	BMC Genomics	9	566	2008/11/27	19038032
PMC2564834	Sim SH, Yu Y, Lin CH, et al	2008	The Core and Accessory Genomes of Burkholderia pseudomallei: Implications for Human Melioidosis	PLoS Pathogens	4	e1000178	2008/10/17	18927621
PMC2518269	Moore RA, Tuanyok A, Woods DE	2008	Survival of Burkholderia pseudomallei in Water	BMC Research Notes	1	11	2008/05/07	18710531
PMC2386483	Tumapa S, Holden MT, Vesaratchavest M, et al	2008	Burkholderia pseudomallei genome plasticity associated with genomic island variation	BMC Genomics	9	190	2008/04/25	18439288
PMC1853089	Harland DN, Dassa E, Titball RW, et al	2007	ATP-binding cassette systems in Burkholderia pseudomallei and Burkholderia mallei	BMC Genomics	8	83	2007/03/28	17391530
PMC1847439	Tiyawisutsri R, Holden MT, Tumapa S, et al	2007	Burkholderia Hep_Hap autotransporter (BuHA) proteins elicit a strong antibody response during experimental glanders but not human melioidosis	BMC Microbiology	7	19	2007/03/15	17362501
PMC1557856	Mahfouz ME, Grayson TH, Dance DA, et al	2006	Characterization of the mrgRS locus of the opportunistic pathogen Burkholderia pseudomallei: temperature regulates the expression of a two-component signal transduction system	BMC Microbiology	6	70	2006/08/07	16893462
PMC1508146	Yu Y, Kim HS, Chua HH, et al	2006	Genomic patterns of pathogen evolution revealed by comparison of Burkholderia pseudomallei, the causative agent of melioidosis, to avirulent Burkholderia thailandensis	BMC Microbiology	6	46	2006/05/26	16725056
